file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W9_param.csv,4,1.6383823160493434,-0.438944345640566,5.105555009301996,0.00231708141369083,bait-W9,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-AC_param.csv,0,488.351308450525,1139.0586151528346,2006.190569836319,4.0272267886723e-4,bat-AC,0-0-0-1,group_0,ae,7487.179487179487,1,2,bat,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-AC_param.csv,1,14.527838632758645,-51.57259888615693,33.60620650640593,4.0272267886723e-4,bat-AC,0-0-0-1,group_0,ae,7487.179487179487,1,2,bat,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-AC_param.csv,2,16.976870991080123,-44.45436436651955,46.52954479065339,4.0272267886723e-4,bat-AC,0-0-0-1,group_0,ae,7487.179487179487,1,2,bat,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-AC_param.csv,3,-4.820937312506292,14.776412875857734,5.4906356353547014,4.0272267886723e-4,bat-AC,0-0-0-1,group_0,ae,7487.179487179487,1,2,bat,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-AC_param.csv,4,1.6413890643717317,-10.48259838975422,17.405621997035368,4.0272267886723e-4,bat-AC,0-0-0-1,group_0,ae,7487.179487179487,1,2,bat,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-KL_param.csv,0,451.6853571684722,1212.6867821193428,1852.843312395862,3.0758639477269e-4,bat-KL,0-0-0-1,group_0,ae,6589.74358974359,1,2,bat,1,0.18,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-KL_param.csv,1,16.507750807756505,-93.53041529238776,-32.55572077556419,3.0758639477269e-4,bat-KL,0-0-0-1,group_0,ae,6589.74358974359,1,2,bat,1,0.18,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-KL_param.csv,2,3.1037025452062466,-19.1138583859646,3.9521425531955345,3.0758639477269e-4,bat-KL,0-0-0-1,group_0,ae,6589.74358974359,1,2,bat,1,0.18,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-KL_param.csv,3,-7.389647816482773,6.276439510916653,-7.206725460607019,3.0758639477269e-4,bat-KL,0-0-0-1,group_0,ae,6589.74358974359,1,2,bat,1,0.18,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-KL_param.csv,4,1.5020596508713209,-5.592192225813487,-8.916450587814643,3.0758639477269e-4,bat-KL,0-0-0-1,group_0,ae,6589.74358974359,1,2,bat,1,0.18,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-SO_param.csv,0,528.9395614144079,1122.677323200735,1748.4866335590175,1.1666192682785e-4,bat-SO,0-0-0-1,group_0,ae,6769.2307692307695,1,2,bat,1,0.16,#,NA,B,T,B,TRUE,internal
